,çÇóÓé“,ëSîNóÓ
2008,2523,5209
2009,2483,4979
2010,2489,4948
2011,2309,4691
2012,2279,4438
2013,2309,4388
2014,2193,4113
2015,2247,4117
2016,2138,3904
2017,2020,3694
2018,1966,3532
