,variable,value
39396,耐久財(諸雑費),469
39397,耐久財(諸雑費),879
39398,耐久財(諸雑費),504
39399,耐久財(諸雑費),724
39400,耐久財(諸雑費),486
39401,耐久財(諸雑費),769
39402,耐久財(諸雑費),1101
39403,耐久財(諸雑費),958
39404,耐久財(諸雑費),484
39405,耐久財(諸雑費),634
39406,耐久財(諸雑費),1049
39407,耐久財(諸雑費),445
39408,耐久財(諸雑費),841
39409,耐久財(諸雑費),804
39410,耐久財(諸雑費),700
39411,耐久財(諸雑費),380
39412,耐久財(諸雑費),310
39413,耐久財(諸雑費),634
39414,耐久財(諸雑費),992
39415,耐久財(諸雑費),788
39416,耐久財(諸雑費),563
39417,耐久財(諸雑費),1120
39418,耐久財(諸雑費),577
39419,耐久財(諸雑費),509
39420,耐久財(諸雑費),640
39421,耐久財(諸雑費),490
39422,耐久財(諸雑費),807
39423,耐久財(諸雑費),337
39424,耐久財(諸雑費),367
39425,耐久財(諸雑費),447
39426,耐久財(諸雑費),959
